filename	label	cost
../../data/Proquest_sample_100/2576125614.xml.txt	TRUE	0.0005405
../../data/Proquest_sample_100/2470093197.xml.txt	TRUE	0.0004535
../../data/Proquest_sample_100/2211486925.xml.txt	TRUE	0.000395
../../data/Proquest_sample_100/2638853255.xml.txt	TRUE	0.0003485
../../data/Proquest_sample_100/1781084602.xml.txt	TRUE	0.000245
../../data/Proquest_sample_100/1838777810.xml.txt	TRUE	0.000383
../../data/Proquest_sample_100/2644247751.xml.txt	TRUE	0.0004655
../../data/Proquest_sample_100/2323137904.xml.txt	TRUE	0.0004295
../../data/Proquest_sample_100/2214826050.xml.txt	TRUE	0.0005075
../../data/Proquest_sample_100/1900759997.xml.txt	TRUE	0.000848
../../data/Proquest_sample_100/2569152281.xml.txt	TRUE	0.0005845
../../data/Proquest_sample_100/2633115669.xml.txt	TRUE	0.0008165
../../data/Proquest_sample_100/2559580574.xml.txt	TRUE	0.000512
../../data/Proquest_sample_100/2602806207.xml.txt	TRUE	0.0003755
../../data/Proquest_sample_100/2172639099.xml.txt	TRUE	0.0003815
../../data/Proquest_sample_100/2586953408.xml.txt	TRUE	0.000446
../../data/Proquest_sample_100/2215997349.xml.txt	TRUE	0.000662
../../data/Proquest_sample_100/2501870262.xml.txt	TRUE	0.0003665
../../data/Proquest_sample_100/1729164511.xml.txt	TRUE	0.000419
../../data/Proquest_sample_100/2213525795.xml.txt	TRUE	0.00038
../../data/Proquest_sample_100/2559989410.xml.txt	TRUE	0.000308
